CSA,CSB,CAS,CSI,MFL,MDS,SDM,RAY,EPS,COM,EED,ANG,STA
16.3,13.57,14.7,19.5,16.38,17.23,15.73,13.34,15.5,18.0,17,16.0,17.15
16.6,16.29,13.7,19.5,16.38,14.69,16.08,15.68,14.0,18.0,11,17.5,16.5
20.0,15.57,15.7,18.2,14.62,14.0,15.31,11.29,14.5,16.5,12,16.0,16.5
17.1,14.61,16.0,19.4,13.15,16.54,15.73,12.68,14.5,19.0,11,14.86,16.93
14.9,15.32,16.6,19.1,13.69,15.08,14.77,14.12,13.0,18.0,12,17.7,17.0
14.8,14.71,13.3,19.4,14.73,14.73,16.44,13.01,14.0,19.0,10,17.3,
17.2,16.36,13.3,19.5,12.54,15.88,17.65,12.4,17.0,18.5,9,8.4,19.7
11.6,16.32,16.3,18.2,13.81,15.42,17.23,14.9,15.0,16.5,10,15.86,16.29
16.5,16.43,15.5,13.1,13.04,17.46,17.31,12.01,14.0,18.0,9,16.5,16.0
11.4,15.54,14.8,19.1,15.85,15.69,16.23,13.46,15.0,16.0,8,15.2,17.3
13.5,13.5,15.2,19.5,14.92,15.62,15.69,13.01,14.5,16.0,15,13.9,15.5
9.6,13.32,16.0,19.5,14.81,17.58,15.96,12.34,14.0,18.0,12,14.2,18.0
14.8,15.57,14.2,19.5,13.35,12.27,16.35,12.68,14.0,17.0,10,17.0,
17.58,10.82,15.4,18.8,13.92,11.96,15.96,15.57,15.0,16.0,15,13.5,15.5
10.7,15.0,16.0,18.8,13.81,13.69,16.35,12.96,16.0,17.0,15,15.8,15.25
17.4,13.96,15.0,18.8,10.96,9.92,13.27,12.01,16.5,17.0,14,17.2,16.75
12.7,15.21,16.0,18.8,12.5,11.69,14.6,13.23,14.0,18.5,11,15.9,17.5
16.2,12.57,13.9,19.4,15.42,14.23,12.96,11.96,18.5,17.0,12,13.7,14.0
13.8,16.04,15.0,14.6,14.42,15.62,16.73,12.46,17.0,18.0,7,13.1,16.0
10.26,13.14,15.0,19.4,13.5,11.85,16.19,13.07,16.5,16.5,14,15.8,15.95
13.54,14.57,15.6,12.2,12.54,15.31,16.73,12.34,14.5,17.5,11,16.7,
15.26,12.57,13.2,15.2,13.69,11.81,13.69,12.68,17.5,18.0,16,15.7,17.5
10.5,16.29,13.7,19.1,15.15,11.12,14.54,12.4,15.0,16.0,12,15.33,16.5
10.2,15.14,15.7,15.2,15.65,12.96,14.54,13.34,15.0,18.5,14,14.7,16.1
17.4,14.07,14.2,19.4,11.31,12.0,11.19,13.01,15.5,16.0,11,14.66,15.5
18.84,15.21,16.2,19.4,13.08,10.31,15.15,11.9,14.0,17.5,9,10.0,
14.16,14.43,11.3,19.5,15.65,11.58,14.35,12.18,15.0,18.0,10,14.86,14.0
